id,SiO_var,SiOSi_skew,SiOSi_gmean,SiO_skew,SiO_gmean,SiO_max,density,SiO_mean,largest_free_sphere,k_dft,mode_dim,volume,AV,SiOSi_min,max_dim,SiOSi_var,SiOSi_hmean,largest_included_sphere,min_dim,SiOSi_std,NAV,g_dft,SiO_min,SiO_average,largest_included_sphere_free,spg,SiO_hmean,NASA,VolFrac,ASA,SiOSi_average,SiOSi_mean,SiO_std,SiOSi_max
9000027,0.001508073,-9.41E-15,158.2203364,-0.098217874,1.729444139,1.7852054,4.07199366,1.729880842,0.0663,24.608817,0,14.49640909,0,125.6414206,0,420.5914009,150.4670687,2.04584,0,20.50832516,0,21.5626637,1.666385606,1.729880842,0.44932,9,1.729006672,0,0,0,158.2244303,158.2244303,0.038833922,159.3626255
9000039,1.81E-07,1.431054012,152.3407415,-1.5,1.621813723,1.622026217,1.567528326,1.621813778,3.16403,35.60362747,0,14.07555885,0,127.8479591,0,187.0509479,141.5311234,2.75692,0,13.67665704,1.69E-05,19.46974058,1.620964025,1.621813778,4.45261,115,1.621813667,303.525,0.06286,0,152.8753143,152.8753143,0.000424877,179.1994691
9000670,3.16E-05,-0.638196696,159.7506701,1.396505167,1.63333975,1.644441085,2.052928515,1.633349406,1.95058,30.53983949,0,13.31582454,0,118.1010912,0,189.4200972,142.2556976,3.25243,0,13.76299739,0.000488474,23.86402972,1.629352374,1.633349406,2.73251,61,1.633330125,0,0,0,160.0313477,160.0313477,0.005625387,171.2406729
9000901,1.23E-05,1.631442884,161.421407,0.697012943,1.641995032,1.646941537,1.970811375,1.641998759,1.4844,32.23136591,1,17.87143578,0.0140146,137.5419053,1,137.4735327,152.0691616,3.94279,1,11.72491078,0,23.26807338,1.639285736,1.641998759,3.48494,88,1.641991307,0,0,0,161.5509965,161.5509965,0.003500636,180
9004990,3.60E-05,1.248563508,162.9451898,0.40815038,1.611313803,1.618683578,1.653443712,1.611324975,2.11619,33.25968024,1,16.3619354,0.0272754,127.8612702,1,152.2279584,146.5402322,5.09317,1,12.33806948,0,23.40490931,1.606392139,1.611324975,5.78182,194,1.611302643,333.818,0,0,163.0384558,163.0384558,0.006003326,176.247271
9008611,9.22E-05,0.713891549,153.9964121,-1.681809362,1.599997161,1.607222261,1.596909169,1.600026158,3.2718,27.34875627,0,12.84878787,0,98.17719369,0,420.6282882,143.7611391,2.5215,0,20.50922447,0,32.75045562,1.578840363,1.600026158,5.30862,15,1.599967967,517.144,0.09166,0,154.2795651,154.2795651,0.009600373,180
9010547,4.50E-06,0.007132129,155.1299979,0.313797976,1.614808328,1.618334249,1.792953219,1.614809722,3.0892,28.84549641,0,14.70515513,0,126.8485681,0,183.0452157,146.0887971,3.23052,0,13.52942038,0.000495223,25.67816745,1.611177779,1.614809722,4.16806,51,1.614806934,72.353,0.03268,0,156.317469,156.317469,0.002122337,180
9016559,4.85E-05,0.87930156,156.9404788,-0.277275097,1.619134209,1.62711073,1.692086626,1.619149205,3.04462,34.52670607,1,16.74411985,0.00918334,135.8785415,1,116.9779386,150.2379874,4.0809,1,10.81563399,0.000120833,22.52830848,1.606177911,1.619149205,3.90333,64,1.6191192,79.7729,0.03652,0,157.2853368,157.2853368,0.006965872,180
9021868,2.45E-05,1.959003552,153.0060685,-0.343867218,1.622368888,1.630414064,1.607771586,1.622376437,4.69099,38.54902026,0,15.90861039,0,133.6490031,0,172.8452242,149.9962074,3.31336,0,13.14706143,0.000994968,31.6666666,1.609603785,1.622376437,5.75003,69,1.622361333,0,0.10182,571.366,153.1807937,153.1807937,0.004947502,179.2307307
9022593,7.66E-06,0.310069737,163.1419493,-0.082338373,1.607327557,1.611103903,1.832578465,1.607329941,3.24124,43.49296013,0,13.64995993,0,118.4791444,0,141.8861974,140.8310096,2.80014,0,11.91159928,8.21E-05,42.21365383,1.603678221,1.607329941,4.62484,59,1.607325174,68.0637,0.02562,0,163.3466336,163.3466336,0.002767709,180
